,City,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude
564,Hailey,64.4,36,20,9.17,43.52
565,New Norfolk,41.0,80,20,10.29,-42.78
566,Aklavik,23.0,92,90,5.82,68.22
567,Omboue,78.4,100,8,5.17,-1.57
568,Novoagansk,44.65,97,92,8.3,61.94
569,Vuktyl,41.86,95,92,5.39,63.86
570,Victor Harbor,53.6,62,75,10.29,-35.55
571,Kagoro,68.41,93,32,2.71,9.6
572,Ossora,42.13,100,92,17.47,59.24
573,Yumen,42.85,54,0,6.4,40.29
574,Erlangen,47.48,93,20,1.12,49.6
575,Kupino,40.33,100,0,6.17,54.36
576,Ancud,51.22,72,44,5.84,-41.87
577,Lagoa,71.6,78,0,3.36,37.14
578,Lithgow,59.0,100,90,3.36,-33.48
579,Griffith,60.04,90,92,12.21,-34.29
580,Sao Jose da Coroa Grande,77.41,82,88,9.98,-8.9
581,Kerman,55.4,19,0,4.7,30.29
582,Nuuk,33.8,80,75,8.05,64.17
583,Itarema,81.73,67,0,17.36,-2.92
584,Farrukhnagar,78.8,78,40,4.7,28.45
585,Aswan,88.12,25,0,10.42,24.09
586,Atuona,79.39,100,0,13.0,-9.8
587,Chernyshevskiy,36.55,75,88,8.19,63.01
